Signature,Turn,Word,Length,Signature Commonality
0,1,a,1,26
0,2,b,1,26
0,3,c,1,26
0,4,d,1,26
0,5,e,1,26
0,6,f,1,26
0,7,g,1,26
0,8,h,1,26
0,9,i,1,26
0,25,y,1,26
0,10,j,1,26
0,11,k,1,26
0,12,l,1,26
0,13,m,1,26
0,14,n,1,26
0,15,o,1,26
0,16,p,1,26
0,17,q,1,26
0,18,r,1,26
0,19,s,1,26
0,20,t,1,26
0,21,u,1,26
0,22,v,1,26
0,23,w,1,26
0,24,x,1,26
0,0,z,1,26
0-25,1,az,2,18
0-25,2,ba,2,18
0-25,3,cb,2,18
0-25,4,dc,2,18
0-25,5,ed,2,18
0-25,6,fe,2,18
0-25,8,hg,2,18
0-25,10,ji,2,18
0-25,13,ml,2,18
0-25,14,nm,2,18
0-25,15,on,2,18
0-25,16,po,2,18
0-25,17,qp,2,18
0-25,19,sr,2,18
0-25,20,ts,2,18
0-25,21,ut,2,18
0-25,22,vu,2,18
0-25,24,xw,2,18
0-25-14,1,azo,3,6
0-25-14,2,bap,3,6
0-25-14,5,eds,3,6
0-25-14,6,fet,3,6
0-25-14,16,pod,3,6
0-25-14,21,uti,3,6
0-0,1,aa,2,13
0-0,2,bb,2,13
0-0,3,cc,2,13
0-0,4,dd,2,13
0-0,5,ee,2,13
0-0,6,ff,2,13
0-0,9,ii,2,13
0-0,12,ll,2,13
0-0,13,mm,2,13
0-0,16,pp,2,13
0-0,19,ss,2,13
0-0,22,vv,2,13
0-0,24,xx,2,13
0-1-2,1,abc,3,7
0-1-2,2,bcd,3,7
0-1-2,4,def,3,7
0-1-2,7,ghi,3,7
0-1-2,17,qrs,3,7
0-1-2,19,stu,3,7
0-1-2,24,xyz,3,7
0-1-4,1,abe,3,7
0-1-4,2,bcf,3,7
0-1-4,3,cdg,3,7
0-1-4,14,nor,3,7
0-1-4,15,ops,3,7
0-1-4,20,tux,3,7
0-1-4,0,zad,3,7
0-2,1,ac,2,17
0-2,2,bd,2,17
0-2,3,ce,2,17
0-2,5,eg,2,17
0-2,7,gi,2,17
0-2,25,ya,2,17
0-2,9,ik,2,17
0-2,11,km,2,17
0-2,12,ln,2,17
0-2,13,mo,2,17
0-2,14,np,2,17
0-2,16,pr,2,17
0-2,17,qs,2,17
0-2,18,rt,2,17
0-2,19,su,2,17
0-2,20,tv,2,17
0-2,23,wy,2,17
0-2-4-18,1,aces,4,2
0-2-4-18,2,bdft,4,2
0-2-10,1,ack,3,4
0-2-10,2,bdl,3,4
0-2-10,5,ego,3,4
0-2-10,13,mow,3,4
0-3,1,ad,2,15
0-3,2,be,2,15
0-3,3,cf,2,15
0-3,4,dg,2,15
0-3,5,eh,2,15
0-3,6,fi,2,15
0-3,9,il,2,15
0-3,11,kn,2,15
0-3,12,lo,2,15
0-3,13,mp,2,15
0-3,15,or,2,15
0-3,16,ps,2,15
0-3,17,qt,2,15
0-3,19,sv,2,15
0-3,21,ux,2,15
0-3-25,1,adz,3,3
0-3-25,2,bea,3,3
0-3-25,6,fie,3,3
0-3-2,1,adc,3,5
0-3-2,2,bed,3,5
0-3-2,9,ilk,3,5
0-3-2,17,qts,3,5
0-3-2,18,rut,3,5
0-3-3,1,add,3,4
0-3-3,2,bee,3,4
0-3-3,9,ill,3,4
0-3-3,12,loo,3,4
0-3-3-4-17,1,adder,5,2
0-3-3-4-17,2,beefs,5,2
0-3-3-17,1,addr,4,2
0-3-3-17,2,bees,4,2
0-3-3-18,1,adds,4,3
0-3-3-18,2,beet,4,3
0-3-3-18,12,lood,4,3
0-3-4,1,ade,3,5
0-3-4,2,bef,3,5
0-3-4,12,lop,3,5
0-3-4,15,ors,3,5
0-3-4,16,pst,3,5
0-3-12,1,adm,3,6
0-3-12,2,ben,3,6
0-3-12,6,fir,3,6
0-3-12,12,lox,3,6
0-3-12,15,ora,3,6
0-3-12,18,rud,3,6
0-3-12-8,1,admi,4,3
0-3-12-8,2,benj,4,3
0-3-12-8,6,firn,4,3
0-3-12-8-23,1,admix,5,2
0-3-12-8-23,2,benjy,5,2
0-3-18,1,ads,3,6
0-3-18,2,bet,3,6
0-3-18,6,fix,3,6
0-3-18,9,ila,3,6
0-3-18,12,lod,3,6
0-3-18,15,org,3,6
0-4,1,ae,2,14
0-4,2,bf,2,14
0-4,3,cg,2,14
0-4,8,hl,2,14
0-4,9,im,2,14
0-4,11,ko,2,14
0-4,12,lp,2,14
0-4,14,nr,2,14
0-4,15,os,2,14
0-4,16,pt,2,14
0-4,17,qu,2,14
0-4,19,sw,2,14
